item_id,evidence_class,type,path,size_bytes,modified_ts,sha256,purpose_guess
E00001,ARTIFACT,markdown,.claude/CLAUDE.local.md,4692,2026-04-23T05:42:54+00:00,d27f2379fda640144f00f4979563655e62ec44ea15301ecf1f514c1565b53f5f,Repository artifact.
E00002,ARTIFACT,markdown,.claude/agents/analysis/analyze-code-quality.md,4592,2026-04-12T12:56:46+00:00,468851022f67047982c5abb8a2a74a5fb0fe330fe0821f7c91c859697d72162e,Repository artifact.
E00003,ARTIFACT,markdown,.claude/agents/analysis/code-analyzer.md,5800,2026-04-12T12:56:46+00:00,6ca6a914284712bc47c6111d40216598f668074e56938634c9336febe669a245,Repository artifact.
E00004,ARTIFACT,markdown,.claude/agents/analysis/code-review/analyze-code-quality.md,4592,2026-04-12T12:56:46+00:00,468851022f67047982c5abb8a2a74a5fb0fe330fe0821f7c91c859697d72162e,Repository artifact.
E00005,ARTIFACT,markdown,.claude/agents/architecture/system-design/arch-system-design.md,4792,2026-04-12T12:56:46+00:00,2f5214254aab0f0065ce4c98cdef662e0ca15203853fa4724fc06b5caa655e42,Repository artifact.
E00006,ARTIFACT,markdown,.claude/agents/consensus/byzantine-coordinator.md,2314,2026-04-12T12:56:46+00:00,5c1dab70fccda87e6fdc2fbd221258e8a51530db3c78833c24cebeb19687c4d2,Repository artifact.
E00007,ARTIFACT,markdown,.claude/agents/consensus/crdt-synchronizer.md,25026,2026-04-12T12:56:46+00:00,b0ca8c4f4237d0f1bd3d81ac5db859857906ca34ab210d6964f332733c030fa5,Repository artifact.
E00008,ARTIFACT,markdown,.claude/agents/consensus/gossip-coordinator.md,2386,2026-04-12T12:56:46+00:00,946d66b6f530ae6eaed102e5d677ab5c3bd2806b6d2b274c17343c77de70cc40,Repository artifact.
E00009,ARTIFACT,markdown,.claude/agents/consensus/performance-benchmarker.md,27227,2026-04-12T12:56:46+00:00,7084eeadbde4f080ee4babb4d6b58abd23845b021eadf6feae68aa0addf97ff6,Repository artifact.
E00010,ARTIFACT,markdown,.claude/agents/consensus/quorum-manager.md,27992,2026-04-12T12:56:46+00:00,9902ac56027d24895b8439f54cc0f8baba8bad331cf5f99e2922c781c6c6ffb0,Repository artifact.
E00011,ARTIFACT,markdown,.claude/agents/consensus/raft-manager.md,2278,2026-04-12T12:56:46+00:00,fbf05a0e1d8bccc39ed8751449b805d151e8b5d85069a9ed90028b7631b7dfa5,Repository artifact.
E00012,ARTIFACT,markdown,.claude/agents/core/coder.md,6502,2026-04-12T12:56:46+00:00,7b468f31551492ed45077a0ead329ee7cebda99a88eee27626610d0a2e1a2dfd,Repository artifact.
E00013,ARTIFACT,markdown,.claude/agents/core/planner.md,4602,2026-04-12T12:56:46+00:00,6f783f66a210106d72bf6e32b30fbc76115b41a0395a39d3a70ab51223c697a9,Repository artifact.
E00014,ARTIFACT,markdown,.claude/agents/core/researcher.md,5377,2026-04-12T12:56:46+00:00,c1410018b82d3ed5c4847f4a4b41ca4ae9b392e2555d814cf6698c10ea14d1c6,Repository artifact.
E00015,ARTIFACT,markdown,.claude/agents/core/reviewer.md,7877,2026-04-12T12:56:46+00:00,64ec2f4d37cce1f2864b63f0b8a9cf1107218044e5422f9c4aa9ea232c940e56,Repository artifact.
E00016,ARTIFACT,markdown,.claude/agents/core/tester.md,8488,2026-04-12T12:56:46+00:00,5ac47fa4c380f6b8259471a280d28904610f62c7b445f72400de36a6f8a6c8fc,Repository artifact.
E00017,ARTIFACT,markdown,.claude/agents/custom/test-long-runner.md,1580,2026-04-12T12:56:46+00:00,6bb456e243f006b39fdfd7936f41faf88500c1fabfcce156641e3cb273eb9c46,Repository artifact.
E00018,ARTIFACT,markdown,.claude/agents/data/ml/data-ml-model.md,5179,2026-04-12T12:56:46+00:00,dfcd3745237c80daa26a9f819cc58f2396e3863c1add36da727e1a526097b014,Repository artifact.
E00019,ARTIFACT,markdown,.claude/agents/development/backend/dev-backend-api.md,3658,2026-04-12T12:56:46+00:00,7d29d81a99cead6b28c81971ec3f6abb3b8f1d93aec8539b116e56382a8f661e,Repository artifact.
E00020,ARTIFACT,markdown,.claude/agents/development/dev-backend-api.md,10121,2026-04-12T12:56:46+00:00,76bbb0311633a0356239887d72b65192e27953bd45ff8bd70315f8b04a09db52,Repository artifact.
E00021,ARTIFACT,markdown,.claude/agents/devops/ci-cd/ops-cicd-github.md,4473,2026-04-12T12:56:46+00:00,88431cb9b3d3ffe8f617fb423c48a68716b0f6c2dda28e4651010d741eac6ae8,Repository artifact.
E00022,ARTIFACT,markdown,.claude/agents/documentation/api-docs/docs-api-openapi.md,4592,2026-04-12T12:56:46+00:00,dccdea2916e39d0eff40ed7e964e71feb969830a2f94c6f532362f0501157ec1,Repository artifact.
E00023,ARTIFACT,markdown,.claude/agents/flow-nexus/app-store.md,3923,2026-04-12T12:56:46+00:00,a3d2b5239dd6e8f6f574eef49be9757d762b2210bb81025b534251837b5cc9ca,Repository artifact.
E00024,ARTIFACT,markdown,.claude/agents/flow-nexus/authentication.md,2725,2026-04-12T12:56:46+00:00,e1f457036f82f0534b09e65fa98e8de0890465977a956a5098404680ecd89b42,Repository artifact.
E00025,ARTIFACT,markdown,.claude/agents/flow-nexus/challenges.md,3873,2026-04-12T12:56:46+00:00,25612f97449d7951026f7620f256d3d99a64633a37efa345d1ee52700b44277c,Repository artifact.
E00026,ARTIFACT,markdown,.claude/agents/flow-nexus/neural-network.md,3742,2026-04-12T12:56:46+00:00,f42ae96a533eae7f876661dc602376d6f08bdf4e2009fd85508b5ad03f39bf80,Repository artifact.
E00027,ARTIFACT,markdown,.claude/agents/flow-nexus/payments.md,3739,2026-04-12T12:56:46+00:00,abab0c52b6f204d211d74e1c74612db897d1641657059776f7d66c89206ad50b,Repository artifact.
E00028,ARTIFACT,markdown,.claude/agents/flow-nexus/sandbox.md,3010,2026-04-12T12:56:46+00:00,b06be9d3e2507096a82a06caf83e151966dae1a456e83150082c42d5b0e97138,Repository artifact.
E00029,ARTIFACT,markdown,.claude/agents/flow-nexus/swarm.md,3473,2026-04-12T12:56:46+00:00,71f2cca54559ad1d815b98dac1acdae199ce2e6155324708a2d0eae336592b6a,Repository artifact.
E00030,ARTIFACT,markdown,.claude/agents/flow-nexus/user-tools.md,4266,2026-04-12T12:56:46+00:00,1a27f961e7736ef2bf22cc34dfedb919dbc2ebcf6fd788fc749a3c0a9c29ddcd,Repository artifact.
E00031,ARTIFACT,markdown,.claude/agents/flow-nexus/workflow.md,3692,2026-04-12T12:56:46+00:00,89547ceaa0f78b6eda1fe82c1b78e82251c47ec53f645a8675cb00a4154f7ec4,Repository artifact.
E00032,ARTIFACT,markdown,.claude/agents/github/code-review-swarm.md,12066,2026-04-12T12:56:46+00:00,67e5d852bd6e697181e8a8005b79aeea6a9134719205ea5a5f1db871301fcf38,Repository artifact.
E00033,ARTIFACT,markdown,.claude/agents/github/github-modes.md,6665,2026-04-12T12:56:46+00:00,2640c10081fbcf319851b6c21fe017c9dcd1e91927e186d78ce529ef3378af53,Repository artifact.
E00034,ARTIFACT,markdown,.claude/agents/github/issue-tracker.md,9350,2026-04-12T12:56:46+00:00,4f0aafcc24b782609f1ed884b3f11e67f56b4330b11c9261a81ca36024f6ad93,Repository artifact.
E00035,ARTIFACT,markdown,.claude/agents/github/multi-repo-swarm.md,12748,2026-04-12T12:56:46+00:00,ad97b07503626a5d18a2b501654a6861bcea32e6a4f3420b793b0515256f56ab,Repository artifact.
E00036,ARTIFACT,markdown,.claude/agents/github/pr-manager.md,6099,2026-04-12T12:56:46+00:00,76cbd4516ad348be7d5858069742609b02181f87ca61e3d0dba10c2b1e86ed31,Repository artifact.
E00037,ARTIFACT,markdown,.claude/agents/github/project-board-sync.md,11367,2026-04-12T12:56:46+00:00,11bddc3cf40ea4ad31aa143af76fd1e33aad29fdfe6f322db85da95209bdb156,Repository artifact.
